latitude,longitude,bright_ti4,acq_date,instrument
-35.66421,137.42259,306.2,43819,VIIRS
-35.64719,137.42474,310.2,43819,VIIRS
-35.68441,137.01385,308.4,43819,VIIRS
-35.64298,137.43097,302.1,43819,VIIRS
-35.64079,137.42273,299,43819,VIIRS
-35.66312,137.41847,315.3,43819,VIIRS
-35.64937,137.43298,300.3,43819,VIIRS
-35.65672,137.41644,306.3,43819,VIIRS
-35.64828,137.42886,308.6,43819,VIIRS
-35.6536,137.42682,295.6,43819,VIIRS
-35.6525,137.42267,303.9,43819,VIIRS
-35.66203,137.41434,305.6,43819,VIIRS
-35.65889,137.42467,312.9,43819,VIIRS
-35.65781,137.42056,304.4,43819,VIIRS
-35.65999,137.42879,316.7,43819,VIIRS
-35.66094,137.41022,295.9,43819,VIIRS
-35.66107,137.43291,310.1,43819,VIIRS
-35.67834,136.9911,306.2,43819,VIIRS
-35.68143,137.02512,334.1,43819,VIIRS
-35.67579,137.02643,324.4,43819,VIIRS
-35.6731,137.01636,336,43819,VIIRS
-35.6701,137.22725,296.5,43819,VIIRS
-35.67074,137.22372,304,43819,VIIRS
-35.67891,137.01566,350.3,43819,VIIRS
-35.6921,137.08742,322.9,43819,VIIRS
-35.69324,137.09171,367,43819,VIIRS
-35.67638,137.00621,326.8,43819,VIIRS
-35.67513,137.00153,327.8,43819,VIIRS
-35.6944,137.09604,333.8,43819,VIIRS
-35.70541,137.09261,367,43819,VIIRS
-35.69875,137.08998,367,43819,VIIRS
-35.69761,137.08568,354.6,43819,VIIRS
-35.67759,137.01071,312.1,43819,VIIRS
-35.67392,136.99699,310.9,43819,VIIRS
-35.69988,137.09424,342.5,43819,VIIRS
-35.68081,137.00035,367,43819,VIIRS
-35.67963,136.99594,350.6,43819,VIIRS
-35.7043,137.08846,356.2,43819,VIIRS
-35.682,137.00482,367,43819,VIIRS
-35.68566,137.01851,322.7,43819,VIIRS
-35.6832,137.00928,323.6,43819,VIIRS
-35.68751,137.00301,343.2,43819,VIIRS
-35.68195,136.95967,301,43819,VIIRS
-35.68377,136.98898,319.7,43819,VIIRS
-35.7116,137.00352,310.5,43819,VIIRS
-35.69087,136.9706,318.6,43819,VIIRS
-35.68625,136.99828,367,43819,VIIRS
-35.68501,136.99362,357.2,43819,VIIRS
-35.70316,137.08414,308.5,43819,VIIRS
-35.68253,136.98434,303.8,43819,VIIRS
-35.6923,137.02097,338.7,43819,VIIRS
-35.7109,137.09082,357.9,43819,VIIRS
-35.70977,137.08659,322.8,43819,VIIRS
-35.67715,136.94168,337.9,43819,VIIRS
-35.68989,137.01195,309.4,43819,VIIRS
-35.68871,137.00749,302.9,43819,VIIRS
-35.67844,136.9465,303,43819,VIIRS
-35.69352,137.02557,313.5,43819,VIIRS
-35.69109,137.01643,311.7,43819,VIIRS
-35.67583,136.93674,301.9,43819,VIIRS
-35.68916,136.98669,335.2,43819,VIIRS
-35.6904,136.99138,367,43819,VIIRS
-35.69165,136.99605,351.7,43819,VIIRS
-35.71521,137.08461,323.8,43819,VIIRS
-35.69288,137.00066,322,43819,VIIRS
-35.6897,136.96625,315.2,43819,VIIRS
-35.68668,136.9774,305.8,43819,VIIRS
-35.6831,136.96396,299.2,43819,VIIRS
-35.71633,137.08885,303.7,43819,VIIRS
-35.6842,136.96811,304.4,43819,VIIRS
-35.68539,136.97255,298.1,43819,VIIRS
-35.69894,137.02344,300.9,43819,VIIRS
-35.68794,136.98213,310.8,43819,VIIRS
-35.69409,137.0052,313.2,43819,VIIRS
-35.6953,137.00978,306.6,43819,VIIRS
-35.69772,137.01884,316,43819,VIIRS
-35.69651,137.01431,306,43819,VIIRS
-35.69707,136.99391,352,43819,VIIRS
-35.68859,136.96208,329.2,43819,VIIRS
-35.68153,136.93556,321.2,43819,VIIRS
-35.68746,136.95779,312.6,43819,VIIRS
-35.69585,136.9893,367,43819,VIIRS
-35.69462,136.9847,329.6,43819,VIIRS
-35.68629,136.95345,301.7,43819,VIIRS
-35.72062,137.08257,367,43819,VIIRS
-35.70315,137.01677,338.9,43819,VIIRS
-35.72175,137.08682,367,43819,VIIRS
-35.68278,136.94028,315.4,43819,VIIRS
-35.6802,136.93057,308,43819,VIIRS
-35.69522,136.96442,335,43819,VIIRS
-35.70073,137.00766,302.5,43819,VIIRS
-35.71043,136.99913,314,43819,VIIRS
-35.69759,136.97333,315.3,43819,VIIRS
-35.69213,136.97533,316,43819,VIIRS
-35.69951,137.00308,299.1,43819,VIIRS
-35.6983,136.99852,314.8,43819,VIIRS
-35.6934,136.98012,309,43819,VIIRS
-35.70195,137.01224,296.9,43819,VIIRS
-35.6941,136.96019,367,43819,VIIRS
-35.68725,136.93446,367,43819,VIIRS
-35.70435,137.02129,316.8,43819,VIIRS
-35.69638,136.96875,317.6,43819,VIIRS
-35.70132,136.98734,367,43819,VIIRS
-35.70979,137.01924,323.5,43819,VIIRS
-35.7001,136.98274,341.5,43819,VIIRS
-35.70376,136.99654,325,43819,VIIRS
-35.70254,136.99194,348.5,43819,VIIRS
-35.72601,137.08041,332.7,43819,VIIRS
-35.68841,136.93883,301.1,43819,VIIRS
-35.72372,137.07178,328.2,43819,VIIRS
-35.72715,137.0847,320.7,43819,VIIRS
-35.68602,136.92987,310.9,43819,VIIRS
-35.68474,136.92508,307.9,43819,VIIRS
-35.70305,136.9713,324.5,43819,VIIRS
-35.69886,136.97807,317.9,43819,VIIRS
-35.72487,137.0761,315.1,43819,VIIRS
-35.70925,136.99464,314.9,43819,VIIRS
-35.7086,137.01476,319.3,43819,VIIRS
-35.70617,137.0056,301.4,43819,VIIRS
-35.70497,137.00107,308.4,43819,VIIRS
-35.69386,136.93671,347.6,43819,VIIRS
-35.70189,136.96692,325.5,43819,VIIRS
-35.69273,136.93245,367,43819,VIIRS
-35.70075,136.96265,345.3,43819,VIIRS
-35.69963,136.95842,339.2,43819,VIIRS
-35.70431,136.97603,312.2,43819,VIIRS
-35.70802,136.99005,355.2,43819,VIIRS
-35.7291,137.06956,329.8,43819,VIIRS
-35.70679,136.9854,367,43819,VIIRS
-35.70556,136.98077,331.8,43819,VIIRS
-35.71523,137.01718,334.4,43819,VIIRS
-35.73138,137.07816,325,43819,VIIRS
-35.69159,136.92818,305.1,43819,VIIRS
-35.73024,137.07385,320.1,43819,VIIRS
-35.685,136.90343,307.2,43819,VIIRS
-35.68782,136.91402,301.9,43819,VIIRS
-35.68641,136.90871,304.9,43819,VIIRS
-35.69819,136.93042,367,43819,VIIRS
-35.73674,137.0759,332.3,43819,VIIRS
-35.70995,136.90672,301.3,43819,VIIRS
-35.71643,136.97655,351,43819,VIIRS
-35.69204,136.90724,325.1,43819,VIIRS
-35.69073,136.90231,350.9,43819,VIIRS
-35.68943,136.8974,338,43819,VIIRS
-35.71349,136.98805,355.6,43819,VIIRS
-35.70738,136.96501,322.2,43819,VIIRS
-35.70625,136.96074,350.7,43819,VIIRS
-35.69934,136.93475,328.8,43819,VIIRS
-35.71225,136.98337,367,43819,VIIRS
-35.70854,136.96938,322.4,43819,VIIRS
-35.71099,136.97864,340.5,43819,VIIRS
-35.70975,136.97398,323.3,43819,VIIRS
-35.69464,136.91705,302,43819,VIIRS
-35.73446,137.06729,315.7,43819,VIIRS
-35.71522,136.97197,328.5,43819,VIIRS
-35.69332,136.91206,308.6,43819,VIIRS
-35.69705,136.92612,311.5,43819,VIIRS
-35.71706,137.00153,308.1,43819,VIIRS
-35.71471,136.99266,316.9,43819,VIIRS
-35.70051,136.93913,298.3,43819,VIIRS
-35.71282,136.96291,333.7,43819,VIIRS
-35.69765,136.90569,328.7,43819,VIIRS
-35.69643,136.90114,367,43819,VIIRS
-35.7356,137.07159,306.3,43819,VIIRS
-35.71167,136.95857,367,43819,VIIRS
-35.69884,136.9102,326.1,43819,VIIRS
-35.70485,136.93285,367,43819,VIIRS
-35.70368,136.92847,367,43819,VIIRS
-35.74834,137.05212,350.2,43819,VIIRS
-35.7032,136.90396,356.5,43819,VIIRS
-35.70009,136.9149,316.9,43819,VIIRS
-35.69521,136.89651,302.3,43819,VIIRS
-35.71766,136.98117,334.1,43819,VIIRS
-35.74215,137.07385,342.9,43819,VIIRS
-35.71889,136.98582,367,43819,VIIRS
-35.741,137.06947,308.7,43819,VIIRS
-35.71401,136.96741,305.7,43819,VIIRS
-35.70254,136.92416,307.8,43819,VIIRS
-35.70136,136.91971,299.4,43819,VIIRS
-35.72011,136.99045,314,43819,VIIRS
-35.73986,137.06516,308,43819,VIIRS
-35.72367,137.00389,309.5,43819,VIIRS
-35.7225,136.99947,302,43819,VIIRS
-35.70802,136.92213,330.5,43819,VIIRS
-35.70438,136.90843,318.6,43819,VIIRS
-35.72373,136.95882,327,43819,VIIRS
-35.70916,136.92647,334.4,43819,VIIRS
-35.702,136.89944,319.1,43819,VIIRS
-35.73145,137.0107,322.6,43819,VIIRS
-35.71827,136.96085,326.4,43819,VIIRS
-35.71714,136.95654,345.7,43819,VIIRS
-35.72068,136.96996,323.1,43819,VIIRS
-35.72552,136.9883,323.3,43819,VIIRS
-35.72431,136.98369,333.9,43819,VIIRS
-35.71461,136.92433,324.9,43819,VIIRS
-35.72908,137.00175,297.8,43819,VIIRS
-35.70682,136.91765,304.7,43819,VIIRS
-35.70559,136.91296,310.7,43819,VIIRS
-35.72673,136.99283,305.5,43819,VIIRS
-35.71946,136.96532,301.6,43819,VIIRS
-35.72189,136.97452,307.9,43819,VIIRS
-35.73026,137.00623,312.4,43819,VIIRS
-35.71349,136.9201,328.1,43819,VIIRS
-35.74758,137.07182,305.8,43819,VIIRS
-35.74643,137.06747,303.7,43819,VIIRS
-35.68582,136.99181,323.3,43819,VIIRS
-35.68342,136.93896,330.2,43819,VIIRS
-35.68146,137.02863,318.7,43819,VIIRS
-35.68122,137.02325,300.4,43819,VIIRS
-35.67983,136.99226,303.9,43819,VIIRS
-35.6796,136.98724,299.1,43819,VIIRS
-35.68628,136.92531,302.2,43819,VIIRS
-35.67527,136.94431,305.9,43819,VIIRS
-35.67946,137.02676,322.9,43819,VIIRS
-35.64375,137.43007,301.2,43819,VIIRS
-35.66214,137.4288,309.8,43819,VIIRS
-35.64962,137.4239,297.5,43819,VIIRS
-35.66188,137.42305,315.8,43819,VIIRS
-35.66162,137.41733,305.7,43819,VIIRS
-35.64988,137.42964,300.6,43819,VIIRS
-35.65549,137.41769,296,43819,VIIRS
-35.67327,137.02353,306.6,43819,VIIRS
-35.67894,137.01653,367,43819,VIIRS
-35.67278,137.01378,302.2,43819,VIIRS
-35.6624,137.43454,297.8,43819,VIIRS
-35.67303,137.01862,343.5,43819,VIIRS
-35.67789,136.99571,321.1,43819,VIIRS
-35.6787,137.01173,327.5,43819,VIIRS
-35.67843,137.00644,330.9,43819,VIIRS
-35.67816,137.00108,341.4,43819,VIIRS
-35.68554,136.911,298.5,43819,VIIRS
-35.68412,137,367,43819,VIIRS
-35.68361,136.98993,315.3,43819,VIIRS
-35.67554,136.94952,310.4,43819,VIIRS
-35.68386,136.99493,333.6,43819,VIIRS
-35.67973,137.03215,297.1,43819,VIIRS
-35.67763,136.99068,298.7,43819,VIIRS
-35.67919,137.02148,298.5,43819,VIIRS
-35.68093,136.93764,313.4,43819,VIIRS
-35.68335,136.98492,303,43819,VIIRS
-35.68067,136.9326,310.5,43819,VIIRS
-35.68438,137.00516,339.8,43819,VIIRS
-35.68517,137.02069,322.8,43819,VIIRS
-35.68119,136.94272,313.6,43819,VIIRS
-35.6826,136.97023,301.5,43819,VIIRS
-35.6823,136.96451,309.2,43819,VIIRS
-35.68202,136.95888,302.4,43819,VIIRS
-35.6853,136.90643,304.2,43819,VIIRS
-35.68465,137.01048,308.4,43819,VIIRS
-35.68959,136.98947,332.4,43819,VIIRS
-35.68826,136.9637,333.4,43819,VIIRS
-35.68543,137.02591,302.3,43819,VIIRS
-35.68491,137.01561,305.9,43819,VIIRS
-35.68683,136.93593,367,43819,VIIRS
-35.68876,137.09186,305.5,43819,VIIRS
-35.69116,137.02005,327.9,43819,VIIRS
-35.68505,136.90166,304.3,43819,VIIRS
-35.6901,136.99942,336.2,43819,VIIRS
-35.68985,136.99445,332.7,43819,VIIRS
-35.69448,137.08548,346.7,43819,VIIRS
-35.68479,136.89648,308.4,43819,VIIRS
-35.69504,137.09657,346.7,43819,VIIRS
-35.69476,137.09105,367,43819,VIIRS
-35.69662,137.00914,305.8,43819,VIIRS
-35.68712,136.9415,309.7,43819,VIIRS
-35.69423,136.96292,367,43819,VIIRS
-35.6775,136.94054,307.2,43819,VIIRS
-35.68655,136.93057,305.6,43819,VIIRS
-35.68933,136.98438,310.9,43819,VIIRS
-35.69279,136.93523,367,43819,VIIRS
-35.68907,136.97929,309.6,43819,VIIRS
-35.68856,136.96938,304.4,43819,VIIRS
-35.68882,136.97452,314.1,43819,VIIRS
-35.6912,136.90477,337.9,43819,VIIRS
-35.69063,137.00966,301.5,43819,VIIRS
-35.69036,137.00446,316.1,43819,VIIRS
-35.69142,137.02519,319.4,43819,VIIRS
-35.6909,137.01488,305.2,43819,VIIRS
-35.69636,137.00407,304.1,43819,VIIRS
-35.69583,136.99384,343.5,43819,VIIRS
-35.6917,136.91437,302.7,43819,VIIRS
-35.69556,136.98874,344.2,43819,VIIRS
-35.69146,136.90962,314.3,43819,VIIRS
-35.70075,137.08989,367,43819,VIIRS
