latitude,longitude,brightness,acq_date,instrument
-35.866,136.716,313.3,43832,MODIS
-35.853,136.722,342.6,43832,MODIS
-35.781,136.798,354.8,43832,MODIS
-35.783,136.833,328.9,43832,MODIS
-35.84,136.758,325.2,43832,MODIS
-35.825,136.759,319.6,43832,MODIS
-35.827,136.794,355.3,43832,MODIS
-35.754,136.809,339.6,43832,MODIS
-35.766,136.801,367.9,43832,MODIS
-35.768,136.835,320.7,43832,MODIS
-35.816,136.802,323.9,43832,MODIS
-35.767,136.772,340.4,43832,MODIS
-35.769,136.807,371.1,43832,MODIS
-35.785,136.805,344.1,43832,MODIS
-35.838,136.723,332,43832,MODIS
-35.85,136.717,333.3,43832,MODIS
-35.852,136.752,318.5,43832,MODIS
-35.781,136.801,333.9,43832,MODIS
-35.841,136.75,327.9,43832,MODIS
-35.876,136.733,322,43832,MODIS
-35.843,136.722,358.7,43832,MODIS
-35.857,136.724,337.9,43832,MODIS
-35.878,136.704,356.5,43832,MODIS
-35.871,136.725,356.4,43832,MODIS
-35.795,136.803,353.8,43832,MODIS
-35.873,136.696,385.7,43832,MODIS
-35.721,136.787,327.2,43832,MODIS
-35.86,136.713,307.2,43832,MODIS
-35.767,136.793,303.8,43832,MODIS
-35.852,136.7,313.6,43832,MODIS
-35.712,136.782,344.1,43832,MODIS
-35.727,136.738,309.1,43832,MODIS
-35.851,136.711,359.8,43832,MODIS
-35.849,136.723,335.4,43832,MODIS
-35.858,136.725,301.5,43832,MODIS
-35.863,136.729,341.1,43833,MODIS
-35.86,136.715,357,43833,MODIS
-35.846,136.633,460,43833,MODIS
-35.838,136.65,500,43833,MODIS
-35.824,136.625,377.7,43833,MODIS
-35.811,136.613,339,43833,MODIS
-35.814,136.685,331.1,43833,MODIS
-35.809,136.658,467.1,43833,MODIS
-35.801,136.731,392.8,43833,MODIS
-35.776,136.651,374.3,43833,MODIS
-35.801,136.674,354.8,43833,MODIS
-35.77,136.788,335.3,43833,MODIS
-35.761,136.677,359.8,43833,MODIS
-35.768,136.66,375.2,43833,MODIS
-35.771,136.682,368.4,43833,MODIS
-35.794,136.632,378,43833,MODIS
-35.799,136.718,390.6,43833,MODIS
-35.784,136.635,343.4,43833,MODIS
-35.806,136.644,408.7,43833,MODIS
-35.811,136.671,339.5,43833,MODIS
-35.826,136.639,419.8,43833,MODIS
-35.829,136.652,500,43833,MODIS
-35.831,136.666,352.2,43833,MODIS
-35.858,136.644,500,43833,MODIS
-35.848,136.647,500,43833,MODIS
-35.853,136.617,370.7,43833,MODIS
-35.856,136.631,500,43833,MODIS
-35.834,136.622,388.1,43833,MODIS
-35.85,136.718,340,43833,MODIS
-35.836,136.636,444.2,43833,MODIS
-35.848,136.704,337,43833,MODIS
-35.819,136.597,328.3,43833,MODIS
-35.821,136.611,339.5,43833,MODIS
-35.821,136.669,345.1,43833,MODIS
-35.809,136.6,334.8,43833,MODIS
-35.819,136.655,472.8,43833,MODIS
-35.786,136.649,375.7,43833,MODIS
-35.801,136.616,336.7,43833,MODIS
-35.789,136.663,469.1,43833,MODIS
-35.796,136.646,403.3,43833,MODIS
-35.791,136.676,374.5,43833,MODIS
-35.751,136.68,370.3,43833,MODIS
-35.781,136.679,397.2,43833,MODIS
-35.767,136.654,364.6,43833,MODIS
-35.779,136.665,456.3,43833,MODIS
-35.766,136.647,341.9,43833,MODIS
-35.753,136.693,334.4,43833,MODIS
-35.78,136.786,336.1,43833,MODIS
-35.744,136.696,334,43833,MODIS
-35.749,136.666,350.4,43833,MODIS
-35.868,136.699,354.7,43833,MODIS
-35.861,136.658,355.7,43833,MODIS
-35.814,136.627,362,43833,MODIS
-35.771,136.674,419.8,43833,MODIS
-35.758,136.663,394.4,43833,MODIS
-35.816,136.641,419.7,43833,MODIS
-35.769,136.668,393.1,43833,MODIS
-35.799,136.66,467.8,43833,MODIS
-35.804,136.63,366.1,43833,MODIS
-35.841,136.663,350.3,43833,MODIS
-35.843,136.677,341.3,43833,MODIS
-35.843,136.619,393.9,43833,MODIS
-35.858,136.702,343.2,43833,MODIS
-35.851,136.661,347.7,43833,MODIS
-35.874,136.619,393.5,43833,MODIS
-35.889,136.644,339,43833,MODIS
-35.884,136.617,353.2,43833,MODIS
-35.867,136.636,500,43833,MODIS
-35.864,136.622,455.5,43833,MODIS
-35.862,136.608,348,43833,MODIS
-35.852,136.611,361.5,43833,MODIS
-35.854,136.625,417.5,43833,MODIS
-35.869,136.592,338.1,43833,MODIS
-35.879,136.704,389,43833,MODIS
-35.879,136.589,332.3,43833,MODIS
-35.886,136.63,356.2,43833,MODIS
-35.871,136.606,339.4,43833,MODIS
-35.889,136.701,443.5,43833,MODIS
-35.886,136.688,440.2,43833,MODIS
-35.869,136.707,338.4,43833,MODIS
-35.876,136.69,405.3,43833,MODIS
-35.859,136.595,332.1,43833,MODIS
-35.869,136.65,500,43833,MODIS
-35.859,136.652,439.7,43833,MODIS
-35.867,136.693,340.6,43833,MODIS
-35.857,136.639,500,43833,MODIS
-35.899,136.699,430.8,43833,MODIS
-35.896,136.628,332,43833,MODIS
-35.894,136.614,338,43833,MODIS
-35.876,136.633,500,43833,MODIS
-35.879,136.647,391.4,43833,MODIS
-35.896,136.685,422.9,43833,MODIS
-36.021,136.805,372.1,43833,MODIS
-36.044,136.724,503.6,43833,MODIS
-36.047,136.7,394.2,43833,MODIS
-35.99,136.76,505.1,43833,MODIS
-36.016,136.779,504.1,43833,MODIS
-36.038,136.759,415.3,43833,MODIS
-35.847,136.736,345,43833,MODIS
-35.828,136.793,369.8,43833,MODIS
-35.857,136.677,385.2,43833,MODIS
-35.877,136.609,341.2,43833,MODIS
-35.868,136.668,363.1,43833,MODIS
-35.834,136.82,335.9,43833,MODIS
-35.832,136.77,339.6,43833,MODIS
-35.837,136.623,378.7,43833,MODIS
